Name,Infectious,Exposed
Afghanistan,37623,28613
Angola,2528,2528
Albania,2696,3116
United Arab Emirates,5000,4992
Argentina,161290,198456
Armenia,17594,18450
Australia,2175,3779
Austria,1082,1407
Azerbaijan,13455,15521
Belgium,3612,3424
Benin,1418,1475
Burkina Faso,552,876
Bangladesh,238762,249321
Bulgaria,7512,9128
Bahrain,3176,3244
Bosnia and Herzegovina,10921,15218
Belarus,9450,7243
Bolivia,87953,99760
Brazil,1974631,2191510
Central African Republic,2506,2493
Canada,8000,8445
Switzerland,1498,2169
Chile,74669,60468
China,500,475
Cote d'Ivoire,7842,7876
Cameroon,11311,8996
Democratic Republic of the Congo,2964,2867
Republic of the Congo,3947,5071
Colombia,352723,424878
Cape Verde,1281,1495
Costa Rica,10590,15691
Cuba,207,156
Cyprus,60,54
Czech Republic,2000,2694
Germany,7422,7813
Djibouti,907,907
Denmark,479,424
Dominican Republic,37692,43803
Algeria,38266,52665
Ecuador,80566,93189
Egypt,86560,85268
Spain,9049,9145
Estonia,20,11
Ethiopia,6077,5196
Finland,50,40
France,16405,17773
Gabon,700,640
United Kingdom,41448,32468
Georgia,90,71
Ghana,23182,27306
Guinea,1000,892
Guinea-Bissau,280,304
Equatorial Guinea,10,16
Greece,700,735
Guatemala,57185,68187
Honduras,58009,72533
Croatia,2500,3750
Haiti,3117,2619
Hungary,500,445
Indonesia,114151,124900
India,2777368,3320006
Ireland,365,293
"Iran, Islamic Republic of",290588,295506
Iraq,158336,189952
Iceland,42,64
Israel,22333,33243
Italy,5000,4537
Jamaica,300,331
Jordan,100,83
Japan,6812,9431
Kazakhstan,57111,104865
Kenya,17084,20398
Kyrgyzstan,17972,27491
"Korea, Republic of",667,695
Kuwait,4002,4297
Lebanon,800,867
Liberia,2000,2081
Libya,2000,2438
Sri Lanka,1000,847
Lithuania,100,76
Luxembourg,800,1385
Latvia,200,188
Morocco,18496,25156
"Moldova, Republic of",6000,5708
Madagascar,8072,11319
Maldives,885,832
Mexico,663978,715086
Macedonia,6461,6477
Mali,415,392
Malta,10,6
Montenegro,5000,10848
Mongolia,40,#N/A
Mozambique,651,638
Mauritania,3218,3300
Malawi,4650,6742
Malaysia,69,40
Namibia,1758,4008
Niger,200,192
Nigeria,68100,71736
Nicaragua,1307,1297
Netherlands,1878,1402
Norway,163,159
Nepal,6172,6638
New Zealand,20,29
Oman,21669,23617
Pakistan,244060,213453
Panama,67382,75679
Peru,241897,222623
Philippines,57607,70741
Poland,6126,5492
Portugal,8628,8867
Paraguay,2062,3283
Qatar,6178,5160
Romania,20110,23015
Russian Federation,256186,238017
Rwanda,863,961
Saudi Arabia,100119,100831
Sudan,2859,2245
Senegal,5765,5817
Singapore,500,413
Sierra Leone,400,348
El Salvador,10332,13112
Somalia,225,162
Serbia,22563,32887
Slovakia,400,596
Slovenia,400,673
Sweden,19987,19413
Swaziland,1738,1923
Chad,15,10
Togo,210,242
Thailand,41,41
Tajikistan,1409,1263
Tunisia,148,137
Turkey,36706,37421
Taiwan,0,0
Uganda,500,486
Ukraine,24600,26775
Uruguay,404,557
United States,1914295,2352465
Uzbekistan,13208,16640
Venezuela,12504,16356
Viet Nam,10,9
Yemen,6635,5855
South Africa,900208,1170370
Zambia,2545,2541
Zimbabwe,2677,2871
